,group,col_num,original_col_name,short_col_name,data_type,transf_col_name,values_desc,values,categorical_values
132,PERSONALITY TRAITS,132,How much time do you spend online?,Internet usage,Categorical,internet_usage,No time at all - Less than an hour a day - Few hours a day - Most of the day,"1,2,3,4","no time at all,  less than an hour a day, few hours a day,  most of the day"
133,SPENDING HABITS,133,I save all the money I can.,Finances,Integer,finances,Strongly disagree 1-2-3-4-5 Strongly agree,"1,2,3,4,5",
134,SPENDING HABITS,134,I enjoy going to large shopping centres.,Shopping centres,Integer,shopping_centres,Strongly disagree 1-2-3-4-5 Strongly agree,"1,2,3,4,5",
135,SPENDING HABITS,135,I prefer branded clothing to non branded.,Branded clothing,Integer,branded_clothing,Strongly disagree 1-2-3-4-5 Strongly agree,"1,2,3,4,5",
136,SPENDING HABITS,136,I spend a lot of money on  partying and socializing.,Entertainment spending,Integer,entertainment_spending,Strongly disagree 1-2-3-4-5 Strongly agree,"1,2,3,4,5",
137,SPENDING HABITS,137,I spend a lot of money on my appearance.,Spending on looks,Integer,spending_on_looks,Strongly disagree 1-2-3-4-5 Strongly agree,"1,2,3,4,5",
138,SPENDING HABITS,138,I spend a lot of money on gadgets.,Spending on gadgets,Integer,spending_on_gadgets,Strongly disagree 1-2-3-4-5 Strongly agree,"1,2,3,4,5",
139,SPENDING HABITS,139,"I will hapilly pay more money for good, quality or healthy food.",Spending on healthy eating,Integer,spending_on_healthy_eating,Strongly disagree 1-2-3-4-5 Strongly agree,"1,2,3,4,5",
140,DEMOGRAPHICS,140,Age,Age,Integer,age,,,
141,DEMOGRAPHICS,141,Height,Height,Integer,height,,,
142,DEMOGRAPHICS,142,Weight,Weight,Integer,weight,,,
143,DEMOGRAPHICS,143,How many siblings do you have?,Number of siblings,Integer,number_of_siblings,,,
144,DEMOGRAPHICS,144,Gender,Gender,Categorical,gender,Female - Male,"0,1","female, male"
145,DEMOGRAPHICS,145,I am,Left - right handed,Categorical,left__right_handed,Left handed - Right handed,"0,1","left handed,  right handed"
146,DEMOGRAPHICS,146,Highest education achieved,Education,Categorical,education,Currently a Primary school pupil - Primary school - Secondary school - College/Bachelor degree - Masters degree - Doctorate degree,"1,2,3,4,5,6","currently a primary school pupil, primary school, secondary school, college/bachelor degree, masters degree, doctorate degree"
147,DEMOGRAPHICS,147,I am the only child,Only child,Categorical,only_child,No - Yes,"0,1","no, yes"
148,DEMOGRAPHICS,148,I spent most of my childhood in a,Village - town,Categorical,village__town,City - village,"1,0","city, village"
149,DEMOGRAPHICS,149,I lived most of my childhood in a,House - block of flats,Categorical,house__block_of_flats,house/bungalow - block of flats,"1,0","house/bungalow,  block of flats"
